Section,Department,Site,Ticket Count,Recommended Entity
Has Both,24 Hours Service Centre,SIXT - HO Rashidiya,10,Automotive
Has Both,24 Hours Service Centre,GE - Sharjah Service Centre,2,Automotive
Has Both,24 Hours Service Centre,GE Sharjah Workshop,1,Automotive
Has Both,AMG Kaffehaus,Dubai Design District,44,F&B
Has Both,AMG Kaffehaus,AMG Kaffehaus City Walk,13,F&B
Has Both,AMG Kaffehaus,AMG Kaffeehaus City Walk,9,F&B
Has Both,AMG Kaffehaus,AMG - D3,3,F&B
Has Both,AMG Kaffehaus,AMG - Citywalk,3,F&B
Has Both,Accounts ,"GCMO - Port Saeed, Waterview",1,Group Functions
Has Both,Admin,GAC Motors Showroom Oman,10,Group Functions
Has Both,Admin,GAC Motors Showroom Sheikh Zayed Road,1,Group Functions
Has Both,Admin,GAC - SZR,1,Group Functions
Has Both,Admin,Dubai Design District,1,Group Functions
Has Both,Administration,GAC Motors Showroom Oman,11,Group Functions
Has Both,Administration,SIXT - HO Rashidiya,7,Group Functions
Has Both,Administration,Shiffa - Opal Tower 1803 - Business Buy,1,Group Functions
Has Both,Administration,DWTC - 14th Floor,1,Group Functions
Has Both,After Sales - Administration,GE Sheikh Zayed Road Bodyshop,9,Automotive
Has Both,After Sales - Alfa Romeo,Alfa Romeo & GAC Service Center Al Qusais,15,Automotive
Has Both,After Sales - Alfa Romeo,GMGT - Al Qusais,2,Automotive
Has Both,After Sales Workshop,GMGT - GAC OMAN,2,Automotive
Has Both,After Sales Workshop,GE PC Deira Workshop,2,Automotive
Has Both,Aftersales,Alfa Romeo & GAC Service Center Al Qusais,31,Automotive
Has Both,Aftersales,GMGT - Al Qusais,19,Automotive
Has Both,Aftersales,GAC Motors Showroom Oman,17,Automotive
Has Both,Aftersales,GE - Deira Service Centre,6,Automotive
Has Both,Aftersales,GE Sheikh Zayed Road Bodyshop,5,Automotive
Has Both,Aftersales,GMGT - Abu Dhabi,3,Automotive
Has Both,Aftersales,GE - Shk. Zayed Rd. PC Service Centre,3,Automotive
Has Both,Aftersales,GE RAK,2,Automotive
Has Both,Aftersales,GE - VPC Jafza,2,Automotive
Has Both,Aftersales - Parts,GE - Deira Showroom,5,Automotive
Has Both,Aftersales - Parts,GAC Motors Showroom Oman,4,Automotive
Has Both,Aftersales - Parts,GE PC Al Qouz Workshop,3,Automotive
Has Both,Aftersales - Parts,GE - Shk. Zayed Rd. PC Service Centre,2,Automotive
Has Both,Aftersales - Parts,GE – AQPC Service Center,1,Automotive
Has Both,Aftersales - Parts,GE PC Deira Workshop,1,Automotive
Has Both,Aftersales - Parts,GE Jebel Ali/JAFZA,1,Automotive
Has Both,Al Quoz W/S,GE PC Al Qouz Workshop,1,Automotive
Has Both,Alterna,DWTC - 6th Floor,4,Financial Services
Has Both,Alterna Service Provider LLC,Deem,33,Financial Services
Has Both,Alterna Service Provider LLC,Gargash Group HR Onboarding,12,Financial Services
Has Both,Alterna Service Provider LLC,DWTC - 6th Floor,1,Financial Services
Has Both,Alterna Service Provider LLC,DI - Dubai World Trade Centre,1,Financial Services
Has Both,Asset & Wealth Management,DWTC - 6th Floor,13,Financial Services
Has Both,Back of House (BOH) - Artisan,F&B - Artisan,2,F&B
Has Both,Board of Directors Office,Gargash Deira Office,23,Group Functions
Has Both,CPO,Purple Used Cars Sharjah,2,Automotive
Has Both,CPO,GE Sharjah Used Car Showroom,2,Automotive
Has Both,Car Rental - Blacklane,Sixt Blacklane Dubai Commerce City Umm Ramool,77,Automotive
Has Both,Car Rental - Limousine,Sixt Limousine Umm Ramool,121,Automotive
Has Both,Car Rental - Limousine,SIXT - Umm Ramool,5,Automotive
Has Both,Car Rental - Limousine,Sixt Sheikh Zayed Road,1,Automotive
Has Both,Car Rental - Sixt,Sixt Rent A Car Umm Ramool,316,Automotive
Has Both,Car Rental - Sixt,Sixt Dubai Airport,226,Automotive
Has Both,Car Rental - Sixt,Sixt Abu Dhabi,83,Automotive
Has Both,Car Rental - Sixt,Sixt Sheikh Zayed Road,36,Automotive
Has Both,Car Rental - Sixt,Sixt Limousine Umm Ramool,25,Automotive
Has Both,Car Rental - Sixt,SIXT - Umm Ramool,7,Automotive
Has Both,Car Rental - Sixt,SIXT - Dubai Airport Terminal 1 Arrivals,3,Automotive
Has Both,Car Rental - Sixt,Sixt Abu Dhabi Airport,1,Automotive
Has Both,Car Rental - Sixt,SIXT - Dubai Airport Terminal 3 Arrivals,1,Automotive
Has Both,Central Warranty,GE - Al Quoz,3,Automotive
Has Both,Chairman Office,DWTC - 30th Floor,1,Group Functions
Has Both,Commercial Rental & Leasing,Gargash Office Sheikh Zayed Road,25,Automotive
Has Both,Commercial Rental & Leasing,GES - Sheikh Zayed Road,3,Automotive
Has Both,Commercial Rental and Leasing,SZR,4,Automotive
Has Both,Corporate Fleet Sales,Gargash Deira Office,153,Automotive
Has Both,Corporate Fleet Sales,Dubai Design District,33,Automotive
Has Both,Corporate Fleet Sales,Gargash Office Sheikh Zayed Road,11,Automotive
Has Both,Corporate Fleet Sales,GAC Motors Showroom Abu Dhabi,9,Automotive
Has Both,Corporate Fleet Sales,DWTC - 30th Floor,6,Automotive
Has Both,Corporate Fleet Sales,GAC Motors Showroom Deira,5,Automotive
Has Both,Corporate Fleet Sales,GMGT - AR Sheikh Zayed Road ,2,Automotive
Has Both,Corporate Fleet Sales,GAC - SZR,2,Automotive
Has Both,Corporate Sales,Gargash Office Sheikh Zayed Road,53,Automotive
Has Both,Corporate Sales,Dubai Design District,18,Automotive
Has Both,Corporate Sales,GAC Motors Showroom Sheikh Zayed Road,14,Automotive
Has Both,Corporate Sales,Gargash General Trading Al Quoz,5,Automotive
Has Both,Corporate Sales,GAC Motors Showroom Oman,3,Automotive
Has Both,Corporate Sales,GE Deira New Car Showroom,1,Automotive
Has Both,Customer Care,GAC Motors Showroom Oman,34,Automotive
Has Both,Customer Support,GAC Motors Showroom Oman,59,Automotive
Has Both,DLMD,DWTC - 30th Floor,71,Financial Services
Has Both,DUBAI VEHICLE STORAGE,GE Jebel Ali/JAFZA,12,Automotive
Has Both,Daman CEO Office,DWTC - 6th Floor,72,Financial Services
Has Both,Daman Investments,DWTC - 6th Floor,421,Financial Services
Has Both,Daman Investments,DWTC - 30th Floor,17,Financial Services
Has Both,Daman Investments,DWTC - 14th Floor,1,Financial Services
Has Both,Daman Securities,DWTC - 14th Floor,116,Financial Services
Has Both,Daman Securities,Daman Securities Abu Dhabi,13,Financial Services
Has Both,Daman Securities,DWTC - Dubai Financial Market,13,Financial Services
Has Both,Daman Securities,DWTC - 6th Floor,2,Financial Services
Has Both,Daman Virtual,DWTC - 14th Floor,37,Financial Services
Has Both,F&B ,Skyhawk Catering - Al Quoz,27,F&B
Has Both,F&B ,F&B - Hotel Cartagena,2,F&B
Has Both,Facility Management,GRE – SZR HO,1,Group Functions
Has Both,Finance,GAC Motors Showroom Oman,94,Group Functions
Has Both,Finance,DI - Dubai World Trade Centre,25,Group Functions
Has Both,Finance,Gargash Office Sheikh Zayed Road,24,Group Functions
Has Both,Finance,GE SZR,3,Group Functions
Has Both,Finance,Gargash Deira Office,2,Group Functions
Has Both,Finance,GE Deira,2,Group Functions
Has Both,Finance,DWTC - 6th Floor,2,Group Functions
Has Both,Finance,DWTC - 14th Floor,2,Group Functions
Has Both,Finance & Insurance Centre,GE - Shk. Zayed Rd. Showroom,5,Automotive
Has Both,Food and Beverages,Gargash Group HR Onboarding,2,F&B
Has Both,Front of House (FOH) - Artisan,The Artisan Waldorf Astoria DIFC,4,F&B
Has Both,Fujairah Bodyshop,GE Fujairah Workshop,6,Automotive
Has Both,GAC Oman,GAC Motors Showroom Oman,53,Automotive
Has Both,GAC Oman,GMGT - GAC OMAN,2,Automotive
Has Both,GAC Oman,GAC Oman,2,Automotive
Has Both,GCMO,Gargash Waterview Port Saeed,135,Group Functions
Has Both,GCMO,Gargash Office Sheikh Zayed Road,1,Group Functions
Has Both,GCMO,"GCMO - Port Saeed, Waterview",1,Group Functions
Has Both,GM Office,GE Deira New Car Showroom,4,Automotive
Has Both,GM Office,Gargash Deira Office,3,Automotive
Has Both,GMGT,Gargash Office Sheikh Zayed Road,7,Automotive
Has Both,GMGT,GAC Motors Showroom Deira,6,Automotive
Has Both,GMGT,GAC Motors Showroom Oman,2,Automotive
Has Both,GMGT GM Office,Gargash Deira Office,147,Automotive
Has Both,GMGT GM Office,Alfa Romeo & GAC Service Center Al Qusais,34,Automotive
Has Both,GMGT GM Office,GAC Motors Showroom Deira,26,Automotive
Has Both,GMGT GM Office,GAC Motors Showroom Abu Dhabi,8,Automotive
Has Both,GRE Corporate Office,Gargash Office Sheikh Zayed Road,1,Real Estate
Has Both,Gargash Car Rental,GE - D3 Brand Centre,4,Automotive
Has Both,Gargash Car Rental,Gargash Office Sheikh Zayed Road,2,Automotive
Has Both,Gargash Corporate Management Office,"GCMO - Port Saeed, Waterview",3,Group Functions
Has Both,Gargash Corporate Management Office,Dubai Waterfront,1,Group Functions
Has Both,Gargash Corporate Office,Gargash Office Sheikh Zayed Road,3,Group Functions
Has Both,Gargash Equipment Solutions,Gargash Office Sheikh Zayed Road,61,Automotive
Has Both,Gargash Equipment Solutions,GES - Sheikh Zayed Road,12,Automotive
Has Both,Gargash Equipment Solutions,GE Sheikh Zayed Road Used Car Showroom,4,Automotive
Has Both,Gargash Motors,Alfa Romeo & GAC Service Center Al Qusais,629,Automotive
Has Both,Gargash Motors,GAC Motors Showroom Deira,375,Automotive
Has Both,Gargash Motors,Alfa Romeo & GAC Service Center Abu Dhabi,144,Automotive
Has Both,Gargash Motors,Gargash Deira Office,133,Automotive
Has Both,Gargash Motors,GAC Motors Showroom Sheikh Zayed Road,106,Automotive
Has Both,Gargash Motors,GAC Motors Showroom Abu Dhabi,69,Automotive
Has Both,Gargash Motors,Alfa Romeo Showroom City Walk,36,Automotive
Has Both,Gargash Motors,Alfa Romeo Showroom Abu Dhabi,32,Automotive
Has Both,Gargash Motors,Dubai Design District,15,Automotive
Has Both,Gargash Motors,Gargash General Trading Al Quoz,13,Automotive
Has Both,Gargash Motors,GAC - SZR,13,Automotive
Has Both,Gargash Motors,GE Ras Al Khaimah Showroom,11,Automotive
Has Both,Gargash Motors,Purple Used Cars Deira,9,Automotive
Has Both,Gargash Motors,GAC Motors Showroom Oman,6,Automotive
Has Both,Gargash Motors,GE Deira New Car Showroom,4,Automotive
Has Both,Gargash Motors,Gargash General Trading Deira,1,Automotive
Has Both,Gargash Motors & General Trading,Gargash Office Sheikh Zayed Road,8,Automotive
Has Both,Gargash Motors & General Trading,Purple Used Cars Deira,6,Automotive
Has Both,Gargash Real Estate (GRE),Gargash Office Sheikh Zayed Road,485,Real Estate
Has Both,Gargash Real Estate (GRE),GRE – SZR HO,20,Real Estate
Has Both,Gargash Real Estate (GRE),Gargash Deira Office,1,Real Estate
Has Both,Gargash Used Cars,GE Deira Used Car Showroom,158,Automotive
Has Both,Gargash Used Cars,GE Sheikh Zayed Road Used Car Showroom,105,Automotive
Has Both,Gargash Used Cars,Purple Used Cars Deira,59,Automotive
Has Both,Gargash Used Cars,GE Sharjah Used Car Showroom,41,Automotive
Has Both,Gargash Used Cars,GE Aweer Used Car Showroom,23,Automotive
Has Both,Gargash Used Cars,Purple Used Cars Sharjah,15,Automotive
Has Both,Gargash Used Cars,Dubai Design District,10,Automotive
Has Both,Gargash Used Cars,GE Sheikh Zayed Road New Car Showroom,4,Automotive
Has Both,General Motors,Alfa Romeo & GAC Service Center Al Qusais,22,Automotive
Has Both,General Motors,GAC Motors Showroom Sheikh Zayed Road,12,Automotive
Has Both,General Motors,GAC Motors Showroom Deira,9,Automotive
Has Both,General Motors,GAC Motors Showroom Abu Dhabi,5,Automotive
Has Both,General Motors,GMGT - Al Qusais,2,Automotive
Has Both,General Motors,GAC - SZR,2,Automotive
Has Both,General Motors,GAC Motors Showroom Oman,1,Automotive
Has Both,General Motors,Alfa Romeo & GAC Service Center Abu Dhabi,1,Automotive
Has Both,General Trading,Gargash General Trading Deira,320,Automotive
Has Both,General Trading,Gargash General Trading Al Quoz,85,Automotive
Has Both,General Trading,GMGT - Al Quoz,8,Automotive
Has Both,General Trading,GMGT Alqouz,5,Automotive
Has Both,General Trading,GE Al Qouz CV New & Used Vehicles,1,Automotive
Has Both,Group CVM,Gargash Deira Office,9,Group Functions
Has Both,Group Customer Value Management,Gargash Deira Office,878,Group Functions
Has Both,Group Customer Value Management,GE PC Deira Workshop,40,Group Functions
Has Both,Group Customer Value Management,GE - Deira Service Centre,4,Group Functions
Has Both,Group Finance,Gargash Deira Office,956,Group Functions
Has Both,Group Finance,DWTC - 30th Floor,130,Group Functions
Has Both,Group Finance,GE PC Deira Workshop,110,Group Functions
Has Both,Group Finance,Gargash Office Sheikh Zayed Road,80,Group Functions
Has Both,Group Finance,Sixt Rent A Car Umm Ramool,79,Group Functions
Has Both,Group Finance,Dubai Design District,64,Group Functions
Has Both,Group Finance,GE Deira New Car Showroom,56,Group Functions
Has Both,Group Finance,GE PC Al Qouz Workshop,52,Group Functions
Has Both,Group Finance,DWTC - 6th Floor,52,Group Functions
Has Both,Group Finance,GE Sheikh Zayed Road Used Car Showroom,45,Group Functions
Has Both,Group Finance,GE Sheikh Zayed Road New Car Showroom,41,Group Functions
Has Both,Group Finance,GE Jebel Ali/JAFZA,31,Group Functions
Has Both,Group Finance,GE Al Qouz CV Workshop,20,Group Functions
Has Both,Group Finance,GE Ras Al Khaimah Showroom,11,Group Functions
Has Both,Group Finance,GE Deira,8,Group Functions
Has Both,Group Finance,GE Aweer Used Car Showroom,7,Group Functions
Has Both,Group Finance,"GCMO - Port Saeed, Waterview",6,Group Functions
Has Both,Group Finance,GE Fujairah Showroom,5,Group Functions
Has Both,Group Finance,GE Deira Used Car Showroom,4,Group Functions
Has Both,Group Finance,DWTC - 14th Floor,4,Group Functions
Has Both,Group Finance,Alfa Romeo Showroom City Walk,4,Group Functions
Has Both,Group Finance,GE Sharjah New Car Showroom,1,Group Functions
Has Both,Group Finance,GE - Fujeirah Service Centre,1,Group Functions
Has Both,Group Finance (GCMO & F&B),Gargash Group HR Onboarding,5,Group Functions
Has Both,Group Finance (GCMO & F&B),"GCMO - Port Saeed, Waterview",1,Group Functions
Has Both,Group Finance (GCMO & F&B),DWTC - 30th Floor,1,Group Functions
Has Both,Group HR,Gargash Group HR Onboarding,1249,Group Functions
Has Both,Group HR,DWTC - 30th Floor,27,Group Functions
Has Both,Group HR,Gargash Deira Office,9,Group Functions
Has Both,Group HR,GAC Motors Showroom Deira,3,Group Functions
Has Both,Group HR,DWTC - 6th Floor,2,Group Functions
Has Both,Group Human Resources,DWTC - 30th Floor,775,Group Functions
Has Both,Group Human Resources,DWTC - 6th Floor,108,Group Functions
Has Both,Group Human Resources,Gargash Deira Office,75,Group Functions
Has Both,Group Human Resources,Gargash Office Sheikh Zayed Road,34,Group Functions
Has Both,Group Human Resources,Al Qouz Camp,11,Group Functions
Has Both,Group Human Resources,GGO - Gargash Group Office,3,Group Functions
Has Both,Group Human Resources,Sonapur Camp,2,Group Functions
Has Both,Group IT,DWTC - 30th Floor,24,Group Functions
Has Both,Group Information Technology,DWTC - 30th Floor,4274,Group Functions
Has Both,Group Information Technology,Dubai Design District,334,Group Functions
Has Both,Group Information Technology,DWTC - 6th Floor,199,Group Functions
Has Both,Group Information Technology,DWTC - 14th Floor,198,Group Functions
Has Both,Group Information Technology,GAC Motors Showroom Oman,22,Group Functions
Has Both,Group Information Technology,GMGT - GAC OMAN,6,Group Functions
Has Both,Group Information Technology,GMGT - Al Quoz,3,Group Functions
Has Both,Group Information Technology,Gargash Waterview Port Saeed,1,Group Functions
Has Both,Group Information Technology,Gargash General Trading Al Quoz,1,Group Functions
Has Both,Group Information Technology,Gargash Deira Office,1,Group Functions
Has Both,Group Information Technology,GE PC Deira Workshop,1,Group Functions
Has Both,Group Information Technology,GE PC Al Qouz Workshop,1,Group Functions
Has Both,Group Information Technology,GE - Shk. Zayed Rd. PC Service Centre,1,Group Functions
Has Both,Group Information Technology,"GCMO - Port Saeed, Waterview",1,Group Functions
Has Both,Group Internal Audit,Gargash Waterview Port Saeed,47,Group Functions
Has Both,Group Internal Audit,"GCMO - Port Saeed, Waterview",3,Group Functions
Has Both,Group Legal,DWTC - 30th Floor,65,Group Functions
Has Both,Group Legal,DWTC - 6th Floor,57,Group Functions
Has Both,Group Legal,Gargash Group HR Onboarding,3,Group Functions
Has Both,Group MD,DWTC - 6th Floor,21,Group Functions
Has Both,Group MD,Gargash Deira Office,17,Group Functions
Has Both,Group Marketing,DWTC - 30th Floor,258,Group Functions
Has Both,Group Marketing,Gargash Deira Office,21,Group Functions
Has Both,Group Marketing,Gargash Group HR Onboarding,6,Group Functions
Has Both,Group Marketing,GAC Motors Showroom Oman,4,Group Functions
Has Both,Group Marketing,DWTC - 6th Floor,1,Group Functions
Has Both,Group Office of Change,DWTC - 30th Floor,361,Group Functions
Has Both,Group Office of Change,Gargash Group HR Onboarding,2,Group Functions
Has Both,Group Office of Change,DWTC - 6th Floor,2,Group Functions
Has Both,Group Office of Change,GRE – SZR HO,1,Group Functions
Has Both,Group Procurement,DWTC - 30th Floor,332,Group Functions
Has Both,Group Strategy & OOC,DWTC - 30th Floor,4,Group Functions
Has Both,HR & Administration,GGO - Gargash Group Office,31,Group Functions
Has Both,Human Resources,GGO - Gargash Group Office,12,Group Functions
Has Both,IMA - Investment Management and Advisory,DWTC - 6th Floor,8,Financial Services
Has Both,Information Technology,GGO - Gargash Group Office,17620,Group Functions
Has Both,Leasing & FI (GCR),Gargash Office Sheikh Zayed Road,201,Automotive
Has Both,Leasing & FI (GCR),Gargash Deira Office,10,Automotive
Has Both,Leasing & FI (GCR),GCR - Sheikh Zayed Road ,8,Automotive
Has Both,Leasing & FI (GCR),GE Sheikh Zayed Road Bodyshop,7,Automotive
Has Both,Leasing & FI (GCR),Gargash Group HR Onboarding,3,Automotive
Has Both,Leasing & FI (GCR),GAC Motors Showroom Deira,3,Automotive
Has Both,Leasing & FI (GE),Gargash Office Sheikh Zayed Road,149,Automotive
Has Both,Leasing & FI (GE),GE Sheikh Zayed Road New Car Showroom,4,Automotive
Has Both,Leasing & FI (GE),Gargash Group HR Onboarding,2,Automotive
Has Both,MB Commercial Vehicles,GE Al Qouz CV Workshop,563,Automotive
Has Both,MB Commercial Vehicles,GE Al Qouz CV New & Used Vehicles,375,Automotive
Has Both,MB Commercial Vehicles,GE Al Dhaid CV Workshop (Thouban),69,Automotive
Has Both,MB Commercial Vehicles,Al Quoz - Cv division,23,Automotive
Has Both,MB Commercial Vehicles,Gargash General Trading Al Quoz,13,Automotive
Has Both,MB Commercial Vehicles,Dubai Design District,12,Automotive
Has Both,MB Commercial Vehicles,GE Al Quoz CV Workshop,6,Automotive
Has Both,MB Commercial Vehicles,GE - Shk. Zayed Rd. CV Service Centre,2,Automotive
Has Both,MB Passenger Cars,GE PC Deira Workshop,1500,Automotive
Has Both,MB Passenger Cars,GE PC Al Qouz Workshop,1236,Automotive
Has Both,MB Passenger Cars,Dubai Design District,704,Automotive
Has Both,MB Passenger Cars,Gargash Deira Office,657,Automotive
Has Both,MB Passenger Cars,GE Sharjah Workshop,414,Automotive
Has Both,MB Passenger Cars,GE Sheikh Zayed Road New Car Showroom,387,Automotive
Has Both,MB Passenger Cars,GE Jebel Ali/JAFZA,307,Automotive
Has Both,MB Passenger Cars,GE Deira New Car Showroom,235,Automotive
Has Both,MB Passenger Cars,GE Ras Al Khaimah Workshop,214,Automotive
Has Both,MB Passenger Cars,GE Sheikh Zayed Road Bodyshop,209,Automotive
Has Both,MB Passenger Cars,GE Sharjah New Car Showroom,137,Automotive
Has Both,MB Passenger Cars,GE Fujairah Workshop,116,Automotive
Has Both,MB Passenger Cars,GE Ras Al Khaimah Showroom,93,Automotive
Has Both,MB Passenger Cars,GE Sharjah Bodyshop,91,Automotive
Has Both,MB Passenger Cars,AMG City Walk Showroom,73,Automotive
Has Both,MB Passenger Cars,GE Fujairah Showroom,67,Automotive
Has Both,MB Passenger Cars,Gargash Office Sheikh Zayed Road,46,Automotive
Has Both,MB Passenger Cars,GE Sheikh Zayed Road Used Car Showroom,35,Automotive
Has Both,MB Passenger Cars,GE Sharjah Used Car Showroom,18,Automotive
Has Both,MB Passenger Cars,GE - Sharjah Service Centre,14,Automotive
Has Both,MB Passenger Cars,GE Deira Used Car Showroom,12,Automotive
Has Both,MB Passenger Cars,Purple Used Cars Deira,11,Automotive
Has Both,MB Passenger Cars,DWTC - 30th Floor,11,Automotive
Has Both,MB Passenger Cars,GE RAK,9,Automotive
Has Both,MB Passenger Cars,GE - Sharjah Showroom,6,Automotive
Has Both,MB Passenger Cars,GE SZR,4,Automotive
Has Both,MB Passenger Cars,GE - D3 Brand Centre,4,Automotive
